Model Name,Date,Price,Information
예약중(안전) 자급폰 아이폰 15프로맥스 256 케어포함,2024.06.12. 12:32,"1,650,000원","※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 “상품명(ex. 갤럭시 S11) ”을 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!
애플 스토어 에서 구매
자급폰 아이폰 15프로맥스 256
애플 케어 2년 포함입니다
미개봉 블랙입니다
직접보시고 결정하셔도 됩니다"
판매(안전) 아이폰7 매트블랙 32GB 12만 19198 수원,2024.06.12. 12:27,"120,000원","1.제품 >아이폰7 매트블랙 32GB 12만 19198 수원
2.제품번호 >> 19198 (구매시 꼭 제품번호 말씀해주세요)
3.통신사 > 공용 (정상해지,호환가능,25%요금할인 )
4.가격 > 12만
5.특이사항 > 외관(사진첨부)/기능문제(없음)/
6.거래방법 >
-> 택배거래 (구매자부담)
-> 직거래 (인계동)
-> 퀵/탁송거래 OK (구매자부담)
-> 연락처 : 010 7419 8506 수원"
판매(안전) 아이폰 14 플러스 128기가 미드나이트 판매합니다.,2024.06.12. 12:01,"600,000원","※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 “상품명(ex. 갤럭시 S11) ”을 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!"
"판매(안전) 아이폰 최고가 매입합니다 / 깨진폰 , 망가진폰 , 부품폰 , 정상폰",2024.06.12. 11:56,"10,041,004원","아이폰 애플워치 아이패드 수리해드립니다 !
공임비 최저가 !
^^핸드폰계의 레전드 가격 ! 최소한의 마진만을 남깁니다
^^궁금한게 있으시면 언제든 연락 주세요 ~
^^매입?! 당연히 받습니다 . 어처구니없는 가격 절대 안부릅니다 어딜 비비든 최고가 장담하겠습니다
^^모든 설명 상담 견적 등등 문의사항 친절하게 응대해드립니다
^^ *DM , 문자 , 당근채팅 , 카톡 편하신대로 연락주세요 ~ (택배수리도 받습니다) +수리시 택배비 엔지니어 부담"
"판매(안전) 아이폰 수리 , 매입 해드립니다 !",2024.06.12. 11:56,"10,041,004원","※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 “상품명(ex. 갤럭시 S11) ”을 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!
아이폰 애플워치 아이패드 수리해드립니다 !
공임비 최저가 !
^^핸드폰계의 레전드 가격 ! 최소한의 마진만을 남깁니다
^^궁금한게 있으시면 언제든 연락 주세요 ~
^^매입?! 당연히 받습니다 . 어처구니없는 가격 절대 안부릅니다 어딜 비비든 최고가 장담하겠습니다
^^모든 설명 상담 견적 등등 문의사항 친절하게 응대해드립니다
^^ *DM , 문자 , 당근채팅 , 카톡 편하신대로 연락주세요 ~ (택배수리도 받습니다) +수리시 택배비 엔지니어 부담"
판매(안전) 아이폰12미니 128기가 화이트,2024.06.12. 11:47,"190,000원","제품정보
아이폰12미니 128기가 화이트
화면에 줄 두개있어요 기능문제 전혀 없어서 업무용이나 촬영용도로도 아주 조와요 카메라 조은폰
필름 붙여드리고 케이스 드려요
직거래선호합니다 위치는 경기도산본가능
2.택배가능(+4000원),오후5시전 당일발송합니다
*연락처 0 1 0 -2197 7656"
판매(안전) 아이폰13미니256 미사용,2024.06.12. 11:30,"670,000원","※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 “상품명(ex. 갤럭시 S11) ”을 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!
AS센터에서 방금 리퍼받은 미사용 새제품으로 블루색상입니다. 리퍼를 새로 받으면 단품만 주기때문에 제품은 새상품, 박스는 기존박스입니다.이어폰, 충전기같은 악세사리는 없습니다. 시흥, 인천 남동구 또는 그외 인근 지역에서 직거래 가능하며 착불택배 가능합니다."
판매(안전) 아이폰12 그린 128 자급제 팝니다 배터리 100,2024.06.12. 11:28,"530,000원","보증 25/06/07 까지 배터리 100입니다 실사용 하루정도 사용했습니다 액정 강화유리 후면 필름 카메라 강화유리 부착했습니다 구성품 박스 케이블 있습니다 직거래는 서울 강동구 지역만 가능합니다 연락은 문자 주세요
※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 “상품명(ex. 갤럭시 S11) ”을 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!"
판매(안전) 아이폰12 블루색상,2024.06.12. 11:17,"255,000원","제품정보
아이폰12 블루색상 64기가
액정아주깨끗 테두리 약 사용감 사진첨부 성능 아주 조와서 촬영용도로도 아주 조와요
필름 붙여드리고 케이스 드려요
직거래선호합니다 위치는 경기도산본가능 기능아무 문제 없어요
유심만 넣으시면 통신사 및 요금제 상관없이 사용이가능합니다
2.택배가능(+4000원),오후5시전 당일발송합니다
*연락처 0 1 0 -2197 -7656"
판매(안전) 🍏아이폰14 프로 골드 ( 128GB ) 애케플 자급제 안심거래,2024.06.12. 10:58,"940,000원","※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 “상품명(ex. 갤럭시 S11) ”을 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!"
판매(안전) 아이폰 12 pro 128gb 골드 팝니다.(배터리 90%),2024.06.12. 10:29,"450,000원","아이폰 12 pro 128gb 팝니다.
배터리 효율 90%이며, 케이스 씌우고 사용해서 찍힘이나 기스는 없습니다.
네고 불가합니다.(네고 문의 답장 안함)
박스, 케이블 보유중이며 액정필름 1개 추가로 드립니다.
※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 “상품명(ex. 갤럭시 S11) ”을 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!"
판매(안전) 아이폰se2 s급 화이트,2024.06.12. 10:16,"150,000원","아이폰se2 s급 화이트 64기가 배터리84%
s한개급 테두리 아주약 사용감 사진 첨부 상태 정말 조와요
기능문제 전혀 없어요
필름 붙여드리고 케이스 드려요
직거래선호합니다 위치는 경기도산본가능
2.택배가능(+4000원),오후5시전 당일발송합니다
*연락처 0 1 0 -2197 7656"
판매(안전) 아이폰13미니 128g 팝니다.(블랙),2024.06.12. 10:12,"320,000원","※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 “상품명(ex. 갤럭시 S11) ”을 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!"
판매(안전) [미사용] 아이폰15프로맥스 512기가 화이트티타늄 자급제,2024.06.12. 10:03,"1,669,000원","※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 “상품명(ex. 갤럭시 S11) ”을 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!"
판매(안전) 아이폰 13 미니 256G 미드나이트,2024.06.12. 09:51,"400,000원","※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 “상품명(ex. 갤럭시 S11) ”을 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!"
판매(안전) 아이폰12 퍼플 128G 배터리100(애플 공식 24.4월 교체),2024.06.12. 09:50,"360,000원","※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 “상품명(ex. 갤럭시 S11) ”을 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!
*가격 제안 받지 않습니다."
판매(안전) [부산] 아이폰 13(iPhone 13) PRO 256g 그래파이트 색상 리퍼폰 팝니다.,2024.06.12. 09:38,"700,000원","※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 “상품명(ex. 갤럭시 S11) ”을 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!"
판매(안전) 아이폰 12 프로 스페이스그레이 128G 배터리성능 100% 자급제 + 정품 케이스 10개 + 파티카 카본 케이스,2024.06.12. 09:25,"550,000원","※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 ""상품명(ex. 3000시리즈 전동 면도기)”을 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!
※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 “상품명(ex. 갤럭시 S11) ”을 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!
예판때 구매한 아이폰 12 프로 128G 스페이스그레이 색상 판매합니다.
계속 케이스와 강화유리 사용하여 상태는 매우 좋습니다.
정품 실리콘 케이스 4개(플럼색은 미개봉 신품), 레더 케이스 2개, 미개봉 레더 슬리브 2개, 파티카 카본 케이스 및 화면 보호 강화유리 포함입니다.
케이스 중 그린 및 클리어는 손상부 있습니다.
상세한 상태들 사진으로 상태 학인 부탁드립니다.
얼마전 정품 배터리 교체로 배터리 성능 100% 이며, 케이스 가격들만 얼마인지 잘 아실거여서 메리트 있는 가격이라 생각합니다.
용인 수지 성복동에서 직거래 우선 하고 싶고, 반품/환불없는 조건 동의하시면 택배 거래 가능하십니다.
배송비 별도입니다.
많은 연락 바라며, 네고 요청은 미리 사과드립니다."
판매(안전) 아이폰15 프로 1tb (1테라) 블루 팝니다.,2024.06.12. 09:09,"1,750,000원","아이폰15 프로 1TB 블루색상 팝니다!
최초개통은 3월30일이며 정상 해지 폰으로 선택약정 및 확정기변 가능합니다"
판매(안전) 아이폰15 프로256블랙 자급제 미개봉 싸게,2024.06.12. 08:48,"1,450,000원",미개봉 입니다 직거래는 평택입니다 010 4734 1176 안전결제가능
판매(안전) A2628] 아이폰 13미니 핑크 128G S급 40만원 사은품포함/09010,2024.06.12. 08:42,"400,000원","제품정보 여우폰
＠ 모델명 : 아이폰 13미니 / A2628 / 128G / 82%
＠ 색상: 핑크
＠ 판매가격 : 40만원 (사은품포함가격)
＠ 호환 통신사 : 쓰던 유심 그대로 [LTE or 선불 or 알뜰유심] 등 모든 유심 사용가능 / 25% 선택 약정 가능
＠ 구성품 : 기기 + 사은품
제품설명
＠ 상태 : S급으로 잔상없으며 최상의 컨디션인 제품으로 초등학생, 부모님 선물용으로도 추천드립니다
아래 보정 없이 직접 찍은 하단 사진 참조 해주세요
.............[제품 번호 - 09010]
＠ 사은품 : 젤리케이스,일반 강화유리, 유심핀 (안전결재 시 사은품X)
＠ 데이터 이전 : 문자,사진,카톡,어플 등-무료로 모든 데이터 이전
＠ 중고폰 매입 : 기존 중고폰 최고가로 매입 해드립니다(깨지고 고장난 폰도 가능합니다)
＠ 유심 개통 : 선불유심, 알뜰유심 개통 가능합니다
＠ 거래방식 : 택배거래 or 퀵 or 안전결재 시에는 꼭 문의 (수수료는 구매자 부담) / 배송비별도
정보
＠ 주소 및 영업시간 : 서울시 중랑구 면목동 383-23번지 편의점 2층 ""여우폰""
＠ 문의 전화 : 010- 9017 - 8851
＠ 카카오톡 ID: foxphone 또는 모바일전용 카카오 상담 (클릭)
(댓글과 쪽지는 잘 확인 못하니 전화 or 문자 or 카카오톡 연락 부탁드려요)
-늦은 시간에도 문자나 카톡 남겨주시면 다음날 오전에 연락드립니다-
게임용 or 센터판(삼성정식 리퍼폰 풀박스) 제품도 가능하며 별도 문의 부탁드립니다
다른 제품 더 보러 가기
＠ 중고나라 앱 : 여우폰 검색 후 가계 검색
＠ 모바일 : 여우폰 검색 후 [글+댓글]로 설정
＠ PC : 하단 배너 클릭"
판매(안전) 아이폰13 스타라이트 128G 리퍼 미사용,2024.06.12. 08:41,"600,000원","6/9 리퍼후 전원조차 켜지않은 새상품 상태입니다
세종 직거래 가능 선입금 택배 가능합니다
0/0-7414.75ㅣ4 문자주세요
※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 “상품명(ex. 갤럭시 S11) ”을 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!"
판매(안전) A2628] 아이폰 13미니 핑크 128G S급 40만원 사은품포함/09010,2024.06.12. 08:36,"400,000원","제품정보 여우폰
＠ 모델명 : 아이폰 13미니 / A2628 / 128G / 82%
＠ 색상: 핑크
＠ 판매가격 : 40만원 (사은품포함가격)
＠ 호환 통신사 : 쓰던 유심 그대로 [LTE or 선불 or 알뜰유심] 등 모든 유심 사용가능 / 25% 선택 약정 가능
＠ 구성품 : 기기 + 사은품
제품설명
＠ 상태 : S급으로 잔상없으며 최상의 컨디션인 제품으로 초등학생, 부모님 선물용으로도 추천드립니다
아래 보정 없이 직접 찍은 하단 사진 참조 해주세요
.............[제품 번호 - 09010]
＠ 사은품 : 젤리케이스,일반 강화유리, 유심핀 (안전결재 시 사은품X)
＠ 데이터 이전 : 문자,사진,카톡,어플 등-무료로 모든 데이터 이전
＠ 중고폰 매입 : 기존 중고폰 최고가로 매입 해드립니다(깨지고 고장난 폰도 가능합니다)
＠ 유심 개통 : 선불유심, 알뜰유심 개통 가능합니다
＠ 거래방식 : 택배거래 or 퀵 or 안전결재 시에는 꼭 문의 (수수료는 구매자 부담) / 배송비별도
정보
＠ 주소 및 영업시간 : 서울시 중랑구 면목동 383-23번지 편의점 2층 ""여우폰""
＠ 문의 전화 : 010- 9017 - 8851
＠ 카카오톡 ID: foxphone 또는 모바일전용 카카오 상담 (클릭)
(댓글과 쪽지는 잘 확인 못하니 전화 or 문자 or 카카오톡 연락 부탁드려요)
-늦은 시간에도 문자나 카톡 남겨주시면 다음날 오전에 연락드립니다-
게임용 or 센터판(삼성정식 리퍼폰 풀박스) 제품도 가능하며 별도 문의 부탁드립니다
다른 제품 더 보러 가기
＠ 중고나라 앱 : 여우폰 검색 후 가계 검색
＠ 모바일 : 여우폰 검색 후 [글+댓글]로 설정
＠ PC : 하단 배너 클릭"
판매(안전) 아이폰13미니 256기가 블랙 공기계,2024.06.12. 08:23,"430,000원","※ 카페 상품 게시글은 자동으로 중고나라 앱/사이트에 노출합니다. 노출을 원하지 않으실 경우 고객센터로 문의 바랍니다.
※ 등록한 게시글이 회원의 신고를 받거나 이상거래로 모니터링 될 경우 중고나라 사기통합조회 DB로 수집/활용될 수 있습니다.
───────────────────
📢 제목에 ""제조사/ 브랜드 명""과 “상품명(ex. 갤럭시 S11) ”을 넣어 작성하면, 보다 빠른 판매가 가능합니다!
📢 게시글 작성 시 배송 방법에 “직거래”와 “내 위치” 설정할 경우, 보다 빠른 판매가 가능합니다!
아이폰13미니 블랙 색상 입니다.
256기가, 베터리 87% 이구요, 박스 포함 입니다.
마지막 사진 보면 뒷면에 찍힘 한군데 있습니다.
택포 45만원, 디핏 범퍼 케이스(실버) 같이 드릴게요..
네고 문의는 차단 합니다!!!
공기계로 완전 초기화해서 보내 드리겠습니다.
댓글 후 문자 주시기 바랍니다.
직거래 가능 지역은 경북 영양군 입니다."
